               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.023275,            0.016011,           0.0088996,             0.95987,             0.97585,             0.98382,             0.78153,            0.015967,           0.0095223,           0.0034148,            0.008152,            0.008152,            0.008152
                  58,            0.024549,            0.016582,           0.0095784,             0.94965,             0.96669,             0.97825,             0.77316,            0.016186,            0.010008,           0.0035661,            0.008119,            0.008119,            0.008119
                  59,            0.023805,            0.016368,           0.0091329,             0.96514,             0.96471,             0.97883,             0.77653,            0.016178,            0.010045,           0.0035027,            0.008086,            0.008086,            0.008086
                  60,            0.023364,            0.015885,           0.0092833,             0.95697,             0.97092,             0.98618,             0.78571,             0.01541,           0.0095488,           0.0031251,            0.008053,            0.008053,            0.008053
                  61,            0.023971,             0.01592,            0.009089,             0.97292,             0.96123,             0.98105,             0.78305,            0.014298,           0.0094168,           0.0032806,             0.00802,             0.00802,             0.00802
                  62,            0.023187,            0.016484,           0.0081721,             0.97484,             0.96886,             0.98126,             0.78193,            0.015138,           0.0094453,           0.0037776,            0.007987,            0.007987,            0.007987
                  63,            0.023043,            0.015775,           0.0097415,             0.96787,              0.9619,             0.98244,             0.78095,             0.01491,           0.0095568,           0.0029816,            0.007954,            0.007954,            0.007954
                  64,            0.023554,            0.015838,           0.0092099,             0.95909,             0.95047,             0.97752,             0.78931,            0.014845,           0.0095237,           0.0038618,            0.007921,            0.007921,            0.007921
                  65,            0.023114,            0.015691,           0.0085861,             0.97388,             0.95823,             0.98441,             0.79215,            0.014667,           0.0093699,           0.0030702,            0.007888,            0.007888,            0.007888
                  66,            0.023357,            0.016475,           0.0089617,             0.97472,             0.96021,             0.97554,             0.78349,            0.015932,           0.0095593,           0.0029702,            0.007855,            0.007855,            0.007855
                  67,            0.023003,            0.016245,           0.0082657,             0.95373,             0.94832,             0.97807,             0.78483,            0.015276,           0.0094188,           0.0037648,            0.007822,            0.007822,            0.007822
                  68,            0.022714,            0.015713,           0.0084682,             0.95733,             0.96343,             0.98304,             0.78126,            0.014815,           0.0093421,           0.0031396,            0.007789,            0.007789,            0.007789
                  69,            0.023099,            0.015852,           0.0083648,             0.95457,             0.95744,             0.97692,             0.79138,            0.015085,           0.0094256,           0.0034055,            0.007756,            0.007756,            0.007756
                  70,            0.022792,            0.016066,           0.0078098,             0.96817,             0.95762,             0.97769,             0.77947,            0.015701,           0.0096316,           0.0035023,            0.007723,            0.007723,            0.007723
                  71,            0.023087,            0.015508,           0.0082059,             0.96546,             0.95446,             0.98481,             0.77813,            0.015766,             0.00952,           0.0032454,             0.00769,             0.00769,             0.00769
                  72,            0.022281,            0.015924,           0.0087421,             0.96503,             0.94151,             0.97764,             0.78544,            0.014876,            0.009421,           0.0031979,            0.007657,            0.007657,            0.007657
                  73,            0.023088,            0.015577,           0.0082463,             0.94947,             0.95431,             0.97744,             0.78734,            0.014579,           0.0094586,           0.0037827,            0.007624,            0.007624,            0.007624
                  74,            0.022478,            0.015582,           0.0073622,             0.93475,             0.96026,             0.97791,             0.78625,            0.014423,           0.0092846,           0.0035904,            0.007591,            0.007591,            0.007591
                  75,            0.022811,            0.015667,           0.0086437,             0.95661,             0.96346,             0.97867,              0.7863,            0.013822,           0.0095746,           0.0034685,            0.007558,            0.007558,            0.007558
                  76,            0.022146,            0.015724,           0.0082475,             0.95926,             0.94954,              0.9783,             0.78375,            0.015495,            0.009708,           0.0031343,            0.007525,            0.007525,            0.007525
                  77,              0.0222,            0.015559,           0.0071593,             0.96769,             0.96872,             0.98448,             0.79425,            0.014286,           0.0089439,           0.0030308,            0.007492,            0.007492,            0.007492
                  78,            0.022661,            0.015509,           0.0079298,             0.96389,             0.96815,             0.98024,             0.78422,            0.014487,           0.0089768,           0.0033729,            0.007459,            0.007459,            0.007459
                  79,            0.021891,            0.015372,           0.0073545,             0.96153,             0.97075,             0.98291,             0.78834,            0.014935,           0.0095034,           0.0029949,            0.007426,            0.007426,            0.007426
                  80,            0.022115,            0.015413,           0.0076414,             0.96547,             0.97304,             0.98474,              0.7921,            0.014075,           0.0092069,           0.0031814,            0.007393,            0.007393,            0.007393
                  81,            0.022065,            0.015472,           0.0080403,             0.97833,             0.94444,             0.98431,             0.79437,            0.014903,            0.009215,           0.0031976,             0.00736,             0.00736,             0.00736
                  82,            0.021854,            0.015603,           0.0082591,             0.95181,              0.9742,             0.98064,             0.79045,            0.014485,            0.008989,           0.0036226,            0.007327,            0.007327,            0.007327
                  83,            0.021708,            0.015364,           0.0075634,             0.95554,             0.95728,             0.98325,              0.7866,            0.014593,           0.0092992,           0.0036887,            0.007294,            0.007294,            0.007294
                  84,            0.022259,             0.01527,           0.0076543,             0.96728,             0.96119,             0.98082,             0.79141,            0.015554,           0.0092062,           0.0030309,            0.007261,            0.007261,            0.007261
                  85,            0.021926,             0.01529,            0.007605,             0.95921,             0.96252,             0.98095,             0.78856,            0.014956,           0.0089064,           0.0030623,            0.007228,            0.007228,            0.007228
                  86,            0.021388,            0.015013,            0.007553,             0.96346,             0.95895,             0.98337,             0.80058,            0.013408,           0.0088496,           0.0028581,            0.007195,            0.007195,            0.007195
                  87,            0.021715,            0.015349,           0.0076632,             0.96185,              0.9601,             0.98246,             0.79911,            0.014203,           0.0088314,            0.003177,            0.007162,            0.007162,            0.007162
                  88,            0.022116,            0.015328,             0.00685,             0.97121,             0.96816,             0.98119,             0.79273,            0.014643,           0.0090729,           0.0028127,            0.007129,            0.007129,            0.007129
                  89,            0.021324,            0.015076,           0.0077753,             0.95816,             0.95767,             0.97945,             0.78776,            0.014917,           0.0094066,           0.0032836,            0.007096,            0.007096,            0.007096
                  90,            0.021577,            0.015794,           0.0077504,             0.96939,             0.96324,             0.98149,             0.80266,            0.014476,           0.0093631,           0.0032008,            0.007063,            0.007063,            0.007063
                  91,            0.020931,            0.015391,           0.0073511,             0.96996,             0.96114,             0.98176,             0.80797,            0.013887,           0.0088474,           0.0032773,             0.00703,             0.00703,             0.00703
                  92,            0.021402,            0.014993,           0.0069949,             0.95486,             0.95401,             0.97893,              0.7913,            0.013968,           0.0090147,           0.0038459,            0.006997,            0.006997,            0.006997
                  93,            0.021204,            0.014839,           0.0071248,             0.95343,             0.96474,             0.98157,              0.7926,            0.014607,           0.0090462,           0.0034133,            0.006964,            0.006964,            0.006964
